Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %
8000130,FWD,Sam Day,Brisbane Lions,Geelong Cats,8070,52.13,49,CONFIRMED IN TEAM TO PLAY,32,34
8000130,RK,Sam Day,Brisbane Lions,Geelong Cats,8070,52.13,49,CONFIRMED IN TEAM TO PLAY,32,34
8000139,MID,Jack Martin,Geelong Cats,Brisbane Lions,9420,64.5,64.5,CONFIRMED IN TEAM TO PLAY,84,43
8000139,DEF,Jack Martin,Geelong Cats,Brisbane Lions,9420,64.5,64.5,CONFIRMED IN TEAM TO PLAY,84,43
8000264,MID,Lachie Neale,Brisbane Lions,Geelong Cats,14050,90.86,79.33,CONFIRMED IN TEAM TO PLAY,68,18
8000284,MID,Josh Dunkley,Brisbane Lions,Geelong Cats,14190,101.21,79.33,CONFIRMED IN TEAM TO PLAY,124,27
8000303,DEF,Harris Andrews,Brisbane Lions,Geelong Cats,9010,59.29,60.67,CONFIRMED IN TEAM TO PLAY,75,8
8000315,DEF,Ryan Lester,Brisbane Lions,Geelong Cats,8830,60.36,51.67,CONFIRMED IN TEAM TO PLAY,57,11
8000405,RK,Mark Blicavs,Geelong Cats,Brisbane Lions,10900,73,67.67,CONFIRMED IN TEAM TO PLAY,50,22
8000405,MID,Mark Blicavs,Geelong Cats,Brisbane Lions,10900,73,67.67,CONFIRMED IN TEAM TO PLAY,50,22
8000408,FWD,Patrick Dangerfield,Geelong Cats,Brisbane Lions,9750,61.92,31.33,CONFIRMED IN TEAM TO PLAY,57,30
8000408,MID,Patrick Dangerfield,Geelong Cats,Brisbane Lions,9750,61.92,31.33,CONFIRMED IN TEAM TO PLAY,57,30
8000409,DEF,Mitch Duncan,Geelong Cats,Brisbane Lions,10450,63.29,62,CONFIRMED IN TEAM TO PLAY,34,18
8000426,RK,Rhys Stanley,Geelong Cats,Brisbane Lions,10320,64.56,68,CONFIRMED IN TEAM TO PLAY,60,28
8000467,DEF,Dayne Zorko,Brisbane Lions,Geelong Cats,15410,106.43,97,CONFIRMED IN TEAM TO PLAY,124,21
8000527,FWD,Charlie Cameron,Brisbane Lions,Geelong Cats,7530,52.5,35.33,CONFIRMED IN TEAM TO PLAY,48,16
8000553,FWD,Jeremy Cameron,Geelong Cats,Brisbane Lions,12690,81.57,78.67,CONFIRMED IN TEAM TO PLAY,51,16
8000609,FWD,Eric Hipwood,Brisbane Lions,Geelong Cats,7960,57.21,52.67,CONFIRMED IN TEAM TO PLAY,27,24
8000609,DEF,Eric Hipwood,Brisbane Lions,Geelong Cats,7960,57.21,52.67,CONFIRMED IN TEAM TO PLAY,27,24
8000706,MID,Jarrod Berry,Brisbane Lions,Geelong Cats,12710,84.54,98,CONFIRMED IN TEAM TO PLAY,110,34
8000713,MID,Hugh McCluggage,Brisbane Lions,Geelong Cats,15650,102.93,113.67,CONFIRMED IN TEAM TO PLAY,103,20
8000775,DEF,Zach Guthrie,Geelong Cats,Brisbane Lions,11160,75.86,67.33,CONFIRMED IN TEAM TO PLAY,48,7
